accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
remold,vt. 改造；改铸
remould,vt. 改造，改铸；重新塑造
molecule,n.  分子；微小颗粒，微粒
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
motel,n. 汽车旅馆
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
municipal,adj. 市政的，市的；地方自治的
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
mushrooming,"vi. 迅速延烧；激烈增殖；迅速增长；呈蘑菇状升腾（mushroom的现在分词形式）
adj. 迅速增长的"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
naked,adj. 裸体的；无装饰的；无证据的；直率的
namely,adv. 也就是；即是；换句话说
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
napkin,n. 餐巾；餐巾纸；尿布
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
nitrogen,n.  氮
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nominate,vt. 推荐；提名；任命；指定
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
noun,n. 名词
nourish,vt. 滋养；怀有；使健壮
nucleus,n. 核，核心；原子核
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
oar,"n. 桨；橹；桨手
vt. 划（船）
vi. 划行"
oath,n. 誓言，誓约；诅咒，咒骂
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
odor,n. 气味；名声
offspring,n. 后代，子孙；产物
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
optical,adj. 光学的；眼睛的，视觉的
orchard,n. 果园；果树林
ore,n. 矿；矿石
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
ounce,n. 盎司；少量；雪豹
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
overt,adj. 明显的；公然的；蓄意的
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
owl,n. 猫头鹰；枭；惯于晚上活动的人
ozone,n.  臭氧；新鲜的空气
pamphlet,n. 小册子
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
paradigm,n. 范例；词形变化表
parameter,n. 参数；系数；参量
parasite,n. 寄生虫；食客
particle,n. 颗粒； 质点；极小量；小品词
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
pastime,n. 娱乐，消遣
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
patriotic,adj. 爱国的
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
pebble,"n. 卵石；水晶透镜
vt. 用卵石铺"
peel,"n. 皮
v. 剥，剥落；削"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
persecute,vt. 迫害；困扰；同…捣乱
petroleum,n. 石油
petty,adj. 琐碎的；小气的；小规模的
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
pigeon,n. 鸽子
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
plagiarism,n. 剽窃；剽窃物
plaintiff,n. 原告
plentiful,adj. 丰富的；许多的；丰饶的；众多的
plight,"n. 困境；境况；誓约
vt. 保证；约定"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
plural,"n. 复数
adj. 复数的"
pneumonia,n. 肺炎
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
pope,n. 教皇，罗马教皇；权威，大师
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
porch,n. 门廊；走廊
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
poultry,"n. 家禽
家禽肉"
predator,n.  捕食者； 食肉动物；掠夺者
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
pretext,"n. 借口；托辞
vt. 以…为借口"
pronoun,n. 代词
prophet,n. 先知；预言者；提倡者
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
prototype,n. 原型；标准，模范
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
puppet,n. 木偶；傀儡；受他人操纵的人
quarantine,"n. 检疫；隔离；检疫期；封锁
vt. 检疫；隔离；使隔离
vi. 实行隔离"
quart,n. 夸脱（容量单位）；一夸脱的容器
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
recede,"vi. 后退；减弱
vt. 撤回"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
reed,"n.  芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
refine,vt. 精炼，提纯；改善；使…文雅
refute,vt. 反驳，驳斥；驳倒
rehearse,"vt. 排练；预演
vi. 排练；演习"
rehearsal,n. 排演；预演；练习；训练；叙述
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
resilient,"adj. 弹回的，有弹力的
adj. 能复原的；有复原力的"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
robe,"n. 长袍，礼服；制服
vi. 穿长袍
vt. 使穿长袍"
rod,n. 棒；惩罚；枝条；权力
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
saint,
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
sane,adj. 健全的；理智的； 神志正常的
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
scenario,n. 方案；情节；剧本；设想
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
semester,n. 学期；半年
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
shampoo,"n. 洗发；洗发精
vt. 洗发"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shilling,n. 先令
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
skull,n. 头盖骨，脑壳
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
sly,adj. 狡猾的；淘气的；诡密的
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
snobbish,adj. 势利的
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
soda,n. 苏打；碳酸水
solemn,adj. 庄严的，严肃的；隆重的，郑重的
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
specimen,n. 样品，样本；标本
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spectacular,adj. 壮观的，惊人的；公开展示的
spectator,n. 观众；旁观者
spicy,adj. 辛辣的；香的，多香料的；下流的
spider,n. 蜘蛛；设圈套者；三脚架
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
spine,n. 脊柱，脊椎；刺；书脊
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
stairway,n. 阶梯，楼梯
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
storey,n.  楼层；叠架的一层
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
strife,n. 冲突；争吵；不和
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
subtract,vt. 减去；扣掉
sulphur,"n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理"
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
symmetry,n. 对称（性）；整齐，匀称
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
tanker,n. 油轮；运油飞机；油槽车；坦克手
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
tempo,n. 速度，发展速度；拍子
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
testimony,n.  证词，证言；证据
texture,n. 质地；纹理；结构；本质，实质
thereafter,adv. 其后；从那时以后
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermometer,n. 温度计；体温计
thigh,n. 大腿，股
thorn,n. 刺； 荆棘
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
torrent,n. 奔流；倾注；迸发；连续不断
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
tractor,n. 拖拉机；牵引机
trademark,"n. 商标
标志"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
tribe,n. 部落；族；宗族；一伙
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
tumor,n. 肿瘤；肿块；赘生物
tumour,n.  瘤；肿瘤；肿块
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
turmoil,n. 混乱，骚动
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
vapour,n. 蒸气（等于vapor）；水蒸气
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
velocity,n. 速度
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
ventilate,vt. 使通风；给…装通风设备；宣布
venue,n. 审判地；犯罪地点；发生地点；集合地点
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
vicinity,n. 邻近，附近；近处
vinegar,n. 醋
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
volleyball,n. 排球
volt,n. 伏特（电压单位）；环骑；闪避
voltage,n.  电压
vowel,"n. 元音；母音
adj. 元音的"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
warfare,n. 战争；冲突
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
waterfall,n. 瀑布；瀑布似的东西
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
watt,n. 瓦特
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
whatsoever,pron. 无论什么
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
width,n. 宽度；广度
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
wooden,adj. 木制的；僵硬的，呆板的
workout,n. 锻炼；练习；试验
workshop,n. 车间；研讨会；工场；讲习班
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
action,n. 行动；活动；功能；战斗；情节
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
agenda,n. 议程；日常工作事项；日程表
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
army,n. 陆军，军队
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
